index k seed graph algorithm obj_func
0 1600 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5780978
0 1600 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3139893
0 1600 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606449
0 1600 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353589
0 1600 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441644
0 1600 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6348630
0 1600 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3574228
0 1600 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 18033437
0 1600 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4343958
0 1600 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21888723
0 1664 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 973740
0 1664 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1020181
0 1664 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1011486
0 1664 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7944163
0 1664 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 784467
0 1664 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 216879
0 1664 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2129974
0 1664 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10474960
0 1664 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5278881
0 1664 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 738513
0 1664 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7999445
0 1664 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5838621
0 1664 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3181239
0 1664 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606421
0 1664 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353757
0 1664 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441738
0 1664 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6350897
0 1664 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3556017
0 1664 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17983165
0 1664 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4340781
0 1664 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21922351
0 1728 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 995471
0 1728 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1034553
0 1728 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1034232
0 1728 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7948882
0 1728 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 790155
0 1728 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 221018
0 1728 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2143217
0 1728 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10660249
0 1728 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5372431
0 1728 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 731348
0 1728 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 8059682
0 1728 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5734461
0 1728 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3263485
0 1728 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606535
0 1728 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 354043
0 1728 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441896
0 1728 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6349668
0 1728 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3570997
0 1728 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 18137933
0 1728 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4349201
0 1728 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21974926
0 1792 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 985552
0 1792 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1032563
0 1792 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1023840
0 1792 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7952274
0 1792 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 786328
0 1792 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 218628
0 1792 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2134360
0 1792 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10422330
0 1792 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5252657
0 1792 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 738001
0 1792 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 8109565
0 1792 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5805135
0 1792 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3199451
0 1792 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606235
0 1792 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353866
0 1792 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441672
0 1792 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6338707
0 1792 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3555440
0 1792 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 18051344
